<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,109810.0,109810.0,109760.0,109760.0
18/09/18,109790.0,109800.0,109760.0,109780.0
18/09/18,109780.0,109810.0,109770.0,109810.0
18/09/18,109810.0,109810.0,109800.0,109800.0
18/09/18,109810.0,109850.0,109810.0,109850.0
18/09/18,109860.0,109880.0,109830.0,109830.0
18/09/18,109840.0,109850.0,109810.0,109810.0
18/09/18,109830.0,109860.0,109820.0,109860.0
18/09/18,109870.0,109870.0,109830.0,109830.0
18/09/18,109820.0,109890.0,109820.0,109870.0
18/09/18,109870.0,109880.0,109850.0,109860.0
18/09/18,109860.0,109880.0,109850.0,109850.0
18/09/18,109850.0,109860.0,109850.0,109860.0
18/09/18,109860.0,109880.0,109850.0,109860.0
18/09/18,109860.0,109860.0,109830.0,109840.0
18/09/18,109850.0,109860.0,109840.0,109850.0
18/09/18,109860.0,109870.0,109860.0,109870.0
18/09/18,109880.0,109880.0,109840.0,109850.0
18/09/18,109830.0,109870.0,109830.0,109860.0
18/09/18,109870.0,109890.0,109850.0,109880.0
18/09/18,109870.0,109960.0,109870.0,109930.0
18/09/18,109930.0,109960.0,109900.0,109920.0
18/09/18,109920.0,109940.0,109900.0,109900.0
18/09/18,109900.0,109940.0,109900.0,109920.0
18/09/18,109930.0,109940.0,109900.0,109900.0
18/09/18,109910.0,109980.0,109910.0,109940.0
18/09/18,109940.0,109950.0,109930.0,109950.0
18/09/18,109970.0,109990.0,109960.0,109970.0
18/09/18,109970.0,109980.0,109970.0,109980.0
18/09/18,109990.0,110000.0,109980.0,110000.0
18/09/18,110000.0,110000.0,109980.0,109990.0
18/09/18,109990.0,110060.0,109990.0,110060.0
18/09/18,110040.0,110070.0,110020.0,110060.0
18/09/18,110060.0,110100.0,110030.0,110070.0
18/09/18,110070.0,110100.0,110060.0,110100.0
18/09/18,110100.0,110190.0,110080.0,110160.0
18/09/18,110160.0,110200.0,110150.0,110160.0
18/09/18,110170.0,110180.0,110160.0,110160.0
18/09/18,110160.0,110300.0,110150.0,110230.0
18/09/18,110220.0,110230.0,110160.0,110160.0
18/09/18,110180.0,110320.0,110170.0,110280.0
18/09/18,110280.0,110300.0,110200.0,110220.0
18/09/18,110220.0,110240.0,110200.0,110200.0
18/09/18,110220.0,110240.0,110200.0,110210.0
18/09/18,110210.0,110230.0,110200.0,110200.0
18/09/18,110200.0,110200.0,110170.0,110190.0
18/09/18,110190.0,110240.0,110190.0,110200.0
18/09/18,110200.0,110240.0,110200.0,110220.0
18/09/18,110220.0,110260.0,110200.0,110220.0
18/09/18,110220.0,110240.0,110180.0,110230.0
18/09/18,110240.0,110250.0,110160.0,110250.0
18/09/18,110230.0,110230.0,110140.0,110160.0
18/09/18,110180.0,110210.0,110140.0,110150.0
18/09/18,110130.0,110140.0,110110.0,110130.0
18/09/18,110140.0,110160.0,110110.0,110120.0
18/09/18,110110.0,110120.0,110020.0,110030.0
18/09/18,110040.0,110080.0,110020.0,110050.0
18/09/18,110040.0,110060.0,110020.0,110050.0
18/09/18,110040.0,110050.0,110040.0,110050.0
18/09/18,110050.0,110050.0,109980.0,109980.0
18/09/18,109980.0,110030.0,109960.0,110010.0
18/09/18,110010.0,110020.0,109950.0,109960.0
18/09/18,109970.0,110030.0,109970.0,110030.0
18/09/18,110030.0,110070.0,110010.0,110070.0
18/09/18,110070.0,110090.0,110050.0,110050.0
18/09/18,110030.0,110030.0,109970.0,109980.0
18/09/18,109980.0,110010.0,109980.0,109990.0
18/09/18,109990.0,110030.0,109990.0,110020.0
18/09/18,110010.0,110010.0,109970.0,109970.0
18/09/18,109970.0,109990.0,109970.0,109990.0
18/09/18,110000.0,110020.0,109990.0,110020.0
18/09/18,110030.0,110060.0,110020.0,110060.0
18/09/18,110060.0,110100.0,110060.0,110090.0
18/09/18,110080.0,110090.0,110010.0,110010.0
18/09/18,109990.0,110000.0,109900.0,109910.0
18/09/18,109940.0,109960.0,109930.0,109960.0
18/09/18,109970.0,109980.0,109960.0,109970.0
18/09/18,109980.0,110040.0,109940.0,110040.0
18/09/18,110030.0,110070.0,109980.0,110000.0
18/09/18,110000.0,110020.0,109970.0,110020.0
18/09/18,110010.0,110050.0,110010.0,110050.0
18/09/18,110060.0,110100.0,110040.0,110070.0
18/09/18,110070.0,110110.0,110060.0,110080.0
18/09/18,110070.0,110130.0,110060.0,110060.0
18/09/18,110100.0,110110.0,110070.0,110090.0
18/09/18,110090.0,110120.0,110060.0,110060.0
18/09/18,110070.0,110070.0,109980.0,110010.0
18/09/18,110020.0,110160.0,110020.0,110120.0
18/09/18,110150.0,110180.0,110110.0,110150.0
18/09/18,110150.0,110190.0,110150.0,110180.0
18/09/18,110200.0,110240.0,110120.0,110140.0
18/09/18,110160.0,110210.0,110150.0,110200.0
18/09/18,110200.0,110280.0,110200.0,110200.0
18/09/18,110200.0,110250.0,110180.0,110220.0
18/09/18,110210.0,110220.0,110190.0,110190.0
18/09/18,110190.0,110230.0,110190.0,110190.0
18/09/18,110190.0,110270.0,110190.0,110240.0
18/09/18,110260.0,110270.0,110230.0,110260.0
18/09/18,110260.0,110280.0,110210.0,110210.0
18/09/18,110220.0,110300.0,110220.0,110220.0
18/09/18,110230.0,110270.0,110210.0,110270.0
